Model,Feature
RandomForest,GRO
RandomForest,MCP-1
RandomForest,WBC Day 0
RandomForest,PLT Day 0
RandomForest,%LYM Day 0
RandomForest,%MON Day 0
RandomForest,%GRA Day 0
RandomForest,Group_3_Compressed
RandomForest,IL-8
SVM,HHV6.Status
SVM,IL-8
SVM,%MON Day 0
SVM,Group_3_Compressed
SVM,Group_5_Compressed
SVM,GCSF
SVM,IL1a
SVM,%LYM Day 0
GradientBoosting,GRO
GradientBoosting,WBC Day 0
GradientBoosting,%LYM Day 0
GradientBoosting,%MON Day 0
GradientBoosting,Group_3_Compressed
GradientBoosting,IL-8
LogisticRegression,HHV6.Status
LogisticRegression,IL-8
LogisticRegression,%MON Day 0
LogisticRegression,Age
LogisticRegression,Group_3_Compressed
LogisticRegression,Group_5_Compressed
LogisticRegression,%LYM Day 0
